Date;Région;Filière;Valeur (TWh)
2014-01;"Île-de-France";"Gross consumption";7,729821443514
2014-02;"Île-de-France";"Gross consumption";6,852540717934
2014-03;"Île-de-France";"Gross consumption";6,581024138855
2014-04;"Île-de-France";"Gross consumption";5,452647871427
2014-05;"Île-de-France";"Gross consumption";5,329635734029
2014-06;"Île-de-France";"Gross consumption";4,868863482667
2014-07;"Île-de-France";"Gross consumption";4,940822419375
2014-08;"Île-de-France";"Gross consumption";4,399373340021
2014-09;"Île-de-France";"Gross consumption";4,927456356978
2014-10;"Île-de-France";"Gross consumption";5,605546976612
2014-11;"Île-de-France";"Gross consumption";6,345869904918
2014-12;"Île-de-France";"Gross consumption";7,969688055505
2015-01;"Île-de-France";"Gross consumption";8,50106917118
2015-02;"Île-de-France";"Gross consumption";7,710683798605
2015-03;"Île-de-France";"Gross consumption";7,349275073519
2015-04;"Île-de-France";"Gross consumption";5,627491274927
2015-05;"Île-de-France";"Gross consumption";5,227687942029
2015-06;"Île-de-France";"Gross consumption";4,951531517833
2015-07;"Île-de-France";"Gross consumption";4,965488994208
2015-08;"Île-de-France";"Gross consumption";4,493310987353
2015-09;"Île-de-France";"Gross consumption";5,0202064591
2015-10;"Île-de-France";"Gross consumption";6,136230817279
2015-11;"Île-de-France";"Gross consumption";6,34305362981
2015-12;"Île-de-France";"Gross consumption";6,888929659184
2016-01;"Île-de-France";"Gross consumption";7,911483660815
2016-02;"Île-de-France";"Gross consumption";7,22781268645
2016-03;"Île-de-France";"Gross consumption";7,352723381834
2016-04;"Île-de-France";"Gross consumption";6,035129714818
2016-05;"Île-de-France";"Gross consumption";5,338522393142
2016-06;"Île-de-France";"Gross consumption";5,006320403932
2016-07;"Île-de-France";"Gross consumption";4,81064562768
2016-08;"Île-de-France";"Gross consumption";4,478698854945
2016-09;"Île-de-France";"Gross consumption";4,87817367364
2016-10;"Île-de-France";"Gross consumption";5,961297983596
2016-11;"Île-de-France";"Gross consumption";6,964198966782
2016-12;"Île-de-France";"Gross consumption";8,027265165709
2017-01;"Île-de-France";"Gross consumption";9,026957889302
2017-02;"Île-de-France";"Gross consumption";6,76596545887
2017-03;"Île-de-France";"Gross consumption";6,538435024098
2017-04;"Île-de-France";"Gross consumption";5,544759295724
2017-05;"Île-de-France";"Gross consumption";5,276930471524
2017-06;"Île-de-France";"Gross consumption";4,880167407833
2017-07;"Île-de-France";"Gross consumption";4,748039473343
2017-08;"Île-de-France";"Gross consumption";4,394004271405
2017-09;"Île-de-France";"Gross consumption";4,969763241421
2017-10;"Île-de-France";"Gross consumption";5,523443724171
2017-11;"Île-de-France";"Gross consumption";6,832443719978
2017-12;"Île-de-France";"Gross consumption";7,77652446222
2018-01;"Île-de-France";"Gross consumption";7,157813230879
2018-02;"Île-de-France";"Gross consumption";7,797377625397
2018-03;"Île-de-France";"Gross consumption";7,528851764959
2018-04;"Île-de-France";"Gross consumption";5,362471830305
2018-05;"Île-de-France";"Gross consumption";5,067761402552
2018-06;"Île-de-France";"Gross consumption";4,819159740159
2018-07;"Île-de-France";"Gross consumption";4,956292878601
2018-08;"Île-de-France";"Gross consumption";4,43054564666
2018-09;"Île-de-France";"Gross consumption";4,753153153567
2018-10;"Île-de-France";"Gross consumption";5,60192974908
2018-11;"Île-de-France";"Gross consumption";6,849997929002
2018-12;"Île-de-France";"Gross consumption";7,349822239379
2019-01;"Île-de-France";"Gross consumption";8,208853307834
2019-02;"Île-de-France";"Gross consumption";6,693029553963
2019-03;"Île-de-France";"Gross consumption";6,505699904369
2019-04;"Île-de-France";"Gross consumption";5,555929703254
2019-05;"Île-de-France";"Gross consumption";5,331552397961
2019-06;"Île-de-France";"Gross consumption";4,782282382742
2019-07;"Île-de-France";"Gross consumption";4,785006604832
2019-08;"Île-de-France";"Gross consumption";4,233721301133
2019-09;"Île-de-France";"Gross consumption";4,576007469231
2019-10;"Île-de-France";"Gross consumption";5,603563673168
2019-11;"Île-de-France";"Gross consumption";6,804428809501
2019-12;"Île-de-France";"Gross consumption";7,291337832294
2020-01;"Île-de-France";"Gross consumption";7,638473799398
2020-02;"Île-de-France";"Gross consumption";6,517914509927
2020-03;"Île-de-France";"Gross consumption";6,275082462443
2020-04;"Île-de-France";"Gross consumption";4,324764243326
2020-05;"Île-de-France";"Gross consumption";4,440913890956
2020-06;"Île-de-France";"Gross consumption";4,45486370881
2020-07;"Île-de-France";"Gross consumption";4,458483189524
2020-08;"Île-de-France";"Gross consumption";4,35587698474
2020-09;"Île-de-France";"Gross consumption";4,647610106656
2020-10;"Île-de-France";"Gross consumption";5,682384393005
2020-11;"Île-de-France";"Gross consumption";5,95210194517
2020-12;"Île-de-France";"Gross consumption";7,075860996005
2021-01;"Île-de-France";"Gross consumption";7,894660987484
2021-02;"Île-de-France";"Gross consumption";6,49675901383
2021-03;"Île-de-France";"Gross consumption";6,55654604616
2021-04;"Île-de-France";"Gross consumption";5,625495529579
2021-05;"Île-de-France";"Gross consumption";5,158802512508
2021-06;"Île-de-France";"Gross consumption";4,566871086087
2021-07;"Île-de-France";"Gross consumption";4,457590750459
2021-08;"Île-de-France";"Gross consumption";4,074933285519
2021-09;"Île-de-France";"Gross consumption";4,598587576065
2021-10;"Île-de-France";"Gross consumption";5,542573344452
2021-11;"Île-de-France";"Gross consumption";6,835149564841
2021-12;"Île-de-France";"Gross consumption";7,370481601973
2022-01;"Île-de-France";"Gross consumption";7,84040580403
2022-02;"Île-de-France";"Gross consumption";6,511246876849
2022-03;"Île-de-France";"Gross consumption";6,361981216422
2022-04;"Île-de-France";"Gross consumption";5,550800102992
2022-05;"Île-de-France";"Gross consumption";4,749782339188
2022-06;"Île-de-France";"Gross consumption";4,570085484254
2022-07;"Île-de-France";"Gross consumption";4,512118965866
2022-08;"Île-de-France";"Gross consumption";4,244038161502
2022-09;"Île-de-France";"Gross consumption";4,525686049925
2022-10;"Île-de-France";"Gross consumption";4,798934862743
2022-11;"Île-de-France";"Gross consumption";5,651936985432
2022-12;"Île-de-France";"Gross consumption";7,220202270777
2023-01;"Île-de-France";"Gross consumption";7,029341233505
2023-02;"Île-de-France";"Gross consumption";6,11552462394
2023-03;"Île-de-France";"Gross consumption";6,17868983831
2023-04;"Île-de-France";"Gross consumption";5,330694539221
2023-05;"Île-de-France";"Gross consumption";4,567801006049
2023-06;"Île-de-France";"Gross consumption";4,426419529123
2023-07;"Île-de-France";"Gross consumption";4,23322784568
2023-08;"Île-de-France";"Gross consumption";3,981611371152
2023-09;"Île-de-France";"Gross consumption";4,328158769885
2023-10;"Île-de-France";"Gross consumption";4,729682089063
2023-11;"Île-de-France";"Gross consumption";5,760202960866
2023-12;"Île-de-France";"Gross consumption";6,503624971815
2024-01;"Île-de-France";"Gross consumption";7,542817432507
2024-02;"Île-de-France";"Gross consumption";5,881623686316
2024-03;"Île-de-France";"Gross consumption";5,887885263027
2024-04;"Île-de-France";"Gross consumption";5,14541323452
2024-05;"Île-de-France";"Gross consumption";4,597493574066
2024-06;"Île-de-France";"Gross consumption";4,36065655574
2024-07;"Île-de-France";"Gross consumption";4,408972711439
2024-08;"Île-de-France";"Gross consumption";4,169224222434
2024-09;"Île-de-France";"Gross consumption";4,427197224269
2024-10;"Île-de-France";"Gross consumption";5,126726389045
2024-11;"Île-de-France";"Gross consumption";6,139773844575
2024-12;"Île-de-France";"Gross consumption";7,022208977775
2025-01;"Île-de-France";"Gross consumption";7,676199982151
2025-02;"Île-de-France";"Gross consumption";6,580384129659
2025-03;"Île-de-France";"Gross consumption";6,114541982722
2025-04;"Île-de-France";"Gross consumption";4,86823869985
2025-05;"Île-de-France";"Gross consumption";4,592458772848
2025-06;"Île-de-France";"Gross consumption";4,596985875332
2025-07;"Île-de-France";"Gross consumption";4,515729547684
