state_code,region_name,year,consumption_gwh,consumption_million_kwh
AL,Alabama,2014,90493.72702,90493.72702
AK,Alaska,2014,6164.812,6164.812
AZ,Arizona,2014,76297.68499,76297.68499
AR,Arkansas,2014,47080.30101,47080.30101
CA,California,2014,262584.78602,262584.78602
CO,Colorado,2014,53396.52101,53396.52101
CT,Connecticut,2014,29354.46,29354.46
DE,Delaware,2014,11338.47699,11338.47699
DC,District of Columbia,2014,11193.589,11193.589
FL,Florida,2014,226078.111,226078.111
GA,Georgia,2014,135789.932,135789.932
HI,Hawaii,2014,9475.452,9475.452
ID,Idaho,2014,23233.28401,23233.28401
IL,Illinois,2014,141540.28703,141540.28703
IN,Indiana,2014,106942.50403,106942.50403
IA,Iowa,2014,47201.85298,47201.85298
KS,Kansas,2014,40561.606,40561.606
KY,Kentucky,2014,78838.92398,78838.92398
LA,Louisiana,2014,90628.31601,90628.31601
ME,Maine,2014,12002.66101,12002.66101
MD,Maryland,2014,61683.86901,61683.86901
MA,Massachusetts,2014,54469.292,54469.292
MI,Michigan,2014,103314.09801,103314.09801
MN,Minnesota,2014,68719.36702,68719.36702
MS,Mississippi,2014,49408.63098,49408.63098
MO,Missouri,2014,83878.39692,83878.39692
MT,Montana,2014,14102.39199,14102.39199
NE,Nebraska,2014,30222.16801,30222.16801
NV,Nevada,2014,35075.60601,35075.60601
NH,New Hampshire,2014,10944.081,10944.081
NJ,New Jersey,2014,73866.07801,73866.07801
NM,New Mexico,2014,23115.222,23115.222
NY,New York,2014,147371.91299,147371.91299
NC,North Carolina,2014,133132.77596,133132.77596
ND,North Dakota,2014,18239.73201,18239.73201
OH,Ohio,2014,150679.71301,150679.71301
OK,Oklahoma,2014,61573.37402,61573.37402
OR,Oregon,2014,47334.95301,47334.95301
PA,Pennsylvania,2014,146687.698,146687.698
RI,Rhode Island,2014,7643.104,7643.104
SC,South Carolina,2014,81619.765,81619.765
SD,South Dakota,2014,12354.726,12354.726
TN,Tennessee,2014,100219.23,100219.23
TX,Texas,2014,389669.82,389669.82
UT,Utah,2014,30043.01902,30043.01902
VT,Vermont,2014,5569.86099,5569.86099
VA,Virginia,2014,112098.38099,112098.38099
WA,Washington,2014,92140.77699,92140.77699
WV,West Virginia,2014,32696.106,32696.106
WI,Wisconsin,2014,69494.75499,69494.75499
WY,Wyoming,2014,17134.07502,17134.07502
AL,Alabama,2015,88845.543,88845.543
AK,Alaska,2015,6159.204,6159.204
AZ,Arizona,2015,77349.41596,77349.41596
AR,Arkansas,2015,46465.15402,46465.15402
CA,California,2015,261170.43699,261170.43699
CO,Colorado,2015,54116.04599,54116.04599
CT,Connecticut,2015,29476.15501,29476.15501
DE,Delaware,2015,11498.205,11498.205
DC,District of Columbia,2015,11291.23301,11291.23301
FL,Florida,2015,235599.39798,235599.39798
GA,Georgia,2015,135878.215,135878.215
HI,Hawaii,2015,9511.352,9511.352
ID,Idaho,2015,23058.81399,23058.81399
IL,Illinois,2015,138619.97,138619.97
IN,Indiana,2015,104514.51798,104514.51798
IA,Iowa,2015,47147.29285,47147.29285
KS,Kansas,2015,39849.127,39849.127
KY,Kentucky,2015,76038.62998,76038.62998
LA,Louisiana,2015,91676.48901,91676.48901
ME,Maine,2015,11888.168,11888.168
MD,Maryland,2015,61781.71901,61781.71901
MA,Massachusetts,2015,54621.08801,54621.08801
MI,Michigan,2015,102479.92097,102479.92097
MN,Minnesota,2015,66579.23387,66579.23387
MS,Mississippi,2015,48691.52902,48691.52902
MO,Missouri,2015,81504.081,81504.081
MT,Montana,2015,14206.911,14206.911
NE,Nebraska,2015,29495.07292,29495.07292
NV,Nevada,2015,36019.69,36019.69
NH,New Hampshire,2015,10999.149,10999.149
NJ,New Jersey,2015,75489.62301,75489.62301
NM,New Mexico,2015,23093.55301,23093.55301
NY,New York,2015,148913.65506,148913.65506
NC,North Carolina,2015,133847.52299,133847.52299
ND,North Dakota,2015,18128.94799,18128.94799
OH,Ohio,2015,149213.22396,149213.22396
OK,Oklahoma,2015,61336.38499,61336.38499
OR,Oregon,2015,47263.97396,47263.97396
PA,Pennsylvania,2015,146344.02799,146344.02799
RI,Rhode Island,2015,7664.718,7664.718
SC,South Carolina,2015,81328.246,81328.246
SD,South Dakota,2015,12101.979,12101.979
TN,Tennessee,2015,99632.10797,99632.10797
TX,Texas,2015,392337.35401,392337.35401
UT,Utah,2015,30192.34999,30192.34999
VT,Vermont,2015,5521.10901,5521.10901
VA,Virginia,2015,112009.04499,112009.04499
WA,Washington,2015,90116.08597,90116.08597
WV,West Virginia,2015,32303.026,32303.026
WI,Wisconsin,2015,68698.93192,68698.93192
WY,Wyoming,2015,16924.76199,16924.76199
AL,Alabama,2016,88225.141,88225.141
AK,Alaska,2016,6123.20202,6123.20202
AZ,Arizona,2016,78237.82802,78237.82802
AR,Arkansas,2016,46188.438,46188.438
CA,California,2016,256846.63497,256846.63497
CO,Colorado,2016,54802.03698,54802.03698
CT,Connecticut,2016,28931.087,28931.087
DE,Delaware,2016,11258.438,11258.438
DC,District of Columbia,2016,11394.003,11394.003
FL,Florida,2016,235721.822,235721.822
GA,Georgia,2016,138112.239,138112.239
HI,Hawaii,2016,9445.389,9445.389
ID,Idaho,2016,23062.96099,23062.96099
IL,Illinois,2016,141050.40899,141050.40899
IN,Indiana,2016,103704.82099,103704.82099
IA,Iowa,2016,48431.19301,48431.19301
KS,Kansas,2016,40810.17399,40810.17399
KY,Kentucky,2016,74553.575,74553.575
LA,Louisiana,2016,91452.659,91452.659
ME,Maine,2016,11448.951,11448.951
MD,Maryland,2016,61353.91101,61353.91101
MA,Massachusetts,2016,53475.888,53475.888
MI,Michigan,2016,104467.81301,104467.81301
MN,Minnesota,2016,66546.49198,66546.49198
MS,Mississippi,2016,49050.16399,49050.16399
MO,Missouri,2016,78618.05597,78618.05597
MT,Montana,2016,14100.60102,14100.60102
NE,Nebraska,2016,30199.35404,30199.35404
NV,Nevada,2016,36144.63,36144.63
NH,New Hampshire,2016,10904.95599,10904.95599
NJ,New Jersey,2016,75359.37099,75359.37099
NM,New Mexico,2016,23039.54701,23039.54701
NY,New York,2016,147803.03801,147803.03801
NC,North Carolina,2016,134404.31899,134404.31899
ND,North Dakota,2016,18520.18799,18520.18799
OH,Ohio,2016,150597.79604,150597.79604
OK,Oklahoma,2016,61516.554,61516.554
OR,Oregon,2016,47349.34999,47349.34999
PA,Pennsylvania,2016,145327.68299,145327.68299
RI,Rhode Island,2016,7524.27,7524.27
SC,South Carolina,2016,79577.54999,79577.54999
SD,South Dakota,2016,12129.53002,12129.53002
TN,Tennessee,2016,100758.43902,100758.43902
TX,Texas,2016,398661.80878,398661.80878
UT,Utah,2016,30179.53403,30179.53403
VT,Vermont,2016,5516.45001,5516.45001
VA,Virginia,2016,112280.66501,112280.66501
WA,Washington,2016,88885.316,88885.316
WV,West Virginia,2016,32076.14599,32076.14599
WI,Wisconsin,2016,69736.33799,69736.33799
WY,Wyoming,2016,16554.87,16554.87
AL,Alabama,2017,86241.73001,86241.73001
AK,Alaska,2017,6185.799,6185.799
AZ,Arizona,2017,77646.26201,77646.26201
AR,Arkansas,2017,46085.95101,46085.95101
CA,California,2017,257267.93701,257267.93701
CO,Colorado,2017,54830.186,54830.186
CT,Connecticut,2017,28135.52999,28135.52999
DE,Delaware,2017,11128.60301,11128.60301
DC,District of Columbia,2017,10916.446,10916.446
FL,Florida,2017,233154.549,233154.549
GA,Georgia,2017,133456.62,133456.62
HI,Hawaii,2017,9324.20101,9324.20101
ID,Idaho,2017,23793.78999,23793.78999
IL,Illinois,2017,137196.31001,137196.31001
IN,Indiana,2017,98965.968,98965.968
IA,Iowa,2017,48921.99695,48921.99695
KS,Kansas,2017,40287.78698,40287.78698
KY,Kentucky,2017,72634.38698,72634.38698
LA,Louisiana,2017,91205.935,91205.935
ME,Maine,2017,11213.674,11213.674
MD,Maryland,2017,59303.885,59303.885
MA,Massachusetts,2017,52513.32101,52513.32101
MI,Michigan,2017,101899.09299,101899.09299
MN,Minnesota,2017,67152.57997,67152.57997
MS,Mississippi,2017,47828.787,47828.787
MO,Missouri,2017,76461.41902,76461.41902
MT,Montana,2017,14709.65602,14709.65602
NE,Nebraska,2017,30359.00702,30359.00702
NV,Nevada,2017,36657.786,36657.786
NH,New Hampshire,2017,10787.26099,10787.26099
NJ,New Jersey,2017,73382.94,73382.94
NM,New Mexico,2017,23009.58399,23009.58399
NY,New York,2017,144992.43302,144992.43302
NC,North Carolina,2017,131421.31898,131421.31898
ND,North Dakota,2017,20140.42599,20140.42599
OH,Ohio,2017,146643.83102,146643.83102
OK,Oklahoma,2017,60492.12799,60492.12799
OR,Oregon,2017,50043.81603,50043.81603
PA,Pennsylvania,2017,142990.89598,142990.89598
RI,Rhode Island,2017,7384.671,7384.671
SC,South Carolina,2017,78096.757,78096.757
SD,South Dakota,2017,12313.67503,12313.67503
TN,Tennessee,2017,97239.88499,97239.88499
TX,Texas,2017,401880.37401,401880.37401
UT,Utah,2017,30589.02102,30589.02102
VT,Vermont,2017,5423.662,5423.662
VA,Virginia,2017,111529.73201,111529.73201
WA,Washington,2017,91948.17201,91948.17201
WV,West Virginia,2017,31709.019,31709.019
WI,Wisconsin,2017,69079.10897,69079.10897
WY,Wyoming,2017,16778.06699,16778.06699
AL,Alabama,2018,90280.456,90280.456
AK,Alaska,2018,5972.46698,5972.46698
AZ,Arizona,2018,78346.30199,78346.30199
AR,Arkansas,2018,49602.70798,49602.70798
CA,California,2018,255224.27197,255224.27197
CO,Colorado,2018,56450.48002,56450.48002
CT,Connecticut,2018,28833.925,28833.925
DE,Delaware,2018,11773.1,11773.1
DC,District of Columbia,2018,11357.91,11357.91
FL,Florida,2018,238565.391,238565.391
GA,Georgia,2018,139866.07398,139866.07398
HI,Hawaii,2018,9337.161,9337.161
ID,Idaho,2018,23753.50799,23753.50799
IL,Illinois,2018,142654.80801,142654.80801
IN,Indiana,2018,104194.376,104194.376
IA,Iowa,2018,51210.655,51210.655
KS,Kansas,2018,42036.97904,42036.97904
KY,Kentucky,2018,76610.63597,76610.63597
LA,Louisiana,2018,94186.07201,94186.07201
ME,Maine,2018,12354.819,12354.819
MD,Maryland,2018,62086.45499,62086.45499
MA,Massachusetts,2018,53285.02903,53285.02903
MI,Michigan,2018,104869.49602,104869.49602
MN,Minnesota,2018,68708.38199,68708.38199
MS,Mississippi,2018,50390.06798,50390.06798
MO,Missouri,2018,82055.835,82055.835
MT,Montana,2018,14838.84499,14838.84499
NE,Nebraska,2018,30939.49201,30939.49201
NV,Nevada,2018,37780.26301,37780.26301
NH,New Hampshire,2018,11046.28399,11046.28399
NJ,New Jersey,2018,76016.762,76016.762
NM,New Mexico,2018,24048.61099,24048.61099
NY,New York,2018,149929.851,149929.851
NC,North Carolina,2018,138287.404,138287.404
ND,North Dakota,2018,20669.50599,20669.50599
OH,Ohio,2018,152915.16698,152915.16698
OK,Oklahoma,2018,64575.31599,64575.31599
OR,Oregon,2018,49325.90401,49325.90401
PA,Pennsylvania,2018,148976.73101,148976.73101
RI,Rhode Island,2018,7583.339,7583.339
SC,South Carolina,2018,81641.13799,81641.13799
SD,South Dakota,2018,12856.93799,12856.93799
TN,Tennessee,2018,102911.18299,102911.18299
TX,Texas,2018,424418.628,424418.628
UT,Utah,2018,31242.408,31242.408
VT,Vermont,2018,5530.94799,5530.94799
VA,Virginia,2018,118166.34802,118166.34802
WA,Washington,2018,90005.79099,90005.79099
WV,West Virginia,2018,33646.813,33646.813
WI,Wisconsin,2018,70959.54899,70959.54899
WY,Wyoming,2018,16864.67799,16864.67799
AL,Alabama,2019,88095.11201,88095.11201
AK,Alaska,2019,5818.80503,5818.80503
AZ,Arizona,2019,77929.17002,77929.17002
AR,Arkansas,2019,48093.03199,48093.03199
CA,California,2019,250378.71,250378.71
CO,Colorado,2019,56520.82299,56520.82299
CT,Connecticut,2019,27899.996,27899.996
DE,Delaware,2019,11469.42199,11469.42199
DC,District of Columbia,2019,11028.403,11028.403
FL,Florida,2019,240347.95505,240347.95505
GA,Georgia,2019,139300.98999,139300.98999
HI,Hawaii,2019,9452.88701,9452.88701
ID,Idaho,2019,23985.275,23985.275
IL,Illinois,2019,138319.48099,138319.48099
IN,Indiana,2019,102104.20303,102104.20303
IA,Iowa,2019,51043.14802,51043.14802
KS,Kansas,2019,41159.62798,41159.62798
KY,Kentucky,2019,75345.382,75345.382
LA,Louisiana,2019,93128.52501,93128.52501
ME,Maine,2019,11732.04,11732.04
MD,Maryland,2019,60720.658,60720.658
MA,Massachusetts,2019,51336.59799,51336.59799
MI,Michigan,2019,101249.29298,101249.29298
MN,Minnesota,2019,66965.594,66965.594
MS,Mississippi,2019,48951.026,48951.026
MO,Missouri,2019,78857.77499,78857.77499
MT,Montana,2019,15321.27098,15321.27098
NE,Nebraska,2019,30383.19001,30383.19001
NV,Nevada,2019,36982.38601,36982.38601
NH,New Hampshire,2019,10711.65701,10711.65701
NJ,New Jersey,2019,73916.70397,73916.70397
NM,New Mexico,2019,24880.134,24880.134
NY,New York,2019,145600.34501,145600.34501
NC,North Carolina,2019,136435.53101,136435.53101
ND,North Dakota,2019,21559.25501,21559.25501
OH,Ohio,2019,148521.92005,148521.92005
OK,Oklahoma,2019,64795.946,64795.946
OR,Oregon,2019,50404.38599,50404.38599
PA,Pennsylvania,2019,145580.38298,145580.38298
RI,Rhode Island,2019,7349.915,7349.915
SC,South Carolina,2019,80205.62,80205.62
SD,South Dakota,2019,12868.93098,12868.93098
TN,Tennessee,2019,99829.09999,99829.09999
TX,Texas,2019,429343.40401,429343.40401
UT,Utah,2019,31142.56502,31142.56502
VT,Vermont,2019,5427.66399,5427.66399
VA,Virginia,2019,118435.37999,118435.37999
WA,Washington,2019,91052.79598,91052.79598
WV,West Virginia,2019,33247.013,33247.013
WI,Wisconsin,2019,69157.53999,69157.53999
WY,Wyoming,2019,16763.49601,16763.49601
AL,Alabama,2020,83395.60502,83395.60502
AK,Alaska,2020,5917.57699,5917.57699
AZ,Arizona,2020,81960.07401,81960.07401
AR,Arkansas,2020,45851.00301,45851.00301
CA,California,2020,250174.67203,250174.67203
CO,Colorado,2020,56050.26399,56050.26399
CT,Connecticut,2020,27113.673,27113.673
DE,Delaware,2020,11129.05101,11129.05101
DC,District of Columbia,2020,9785.775,9785.775
FL,Florida,2020,242440.17099,242440.17099
GA,Georgia,2020,133470.14198,133470.14198
HI,Hawaii,2020,8796.76099,8796.76099
ID,Idaho,2020,24461.35199,24461.35199
IL,Illinois,2020,132469.277,132469.277
IN,Indiana,2020,97155.74401,97155.74401
IA,Iowa,2020,50639.86205,50639.86205
KS,Kansas,2020,39483.94599,39483.94599
KY,Kentucky,2020,71800.39901,71800.39901
LA,Louisiana,2020,89126.68501,89126.68501
ME,Maine,2020,11346.74,11346.74
MD,Maryland,2020,57629.04001,57629.04001
MA,Massachusetts,2020,50009.34104,50009.34104
MI,Michigan,2020,97011.9058,97011.9058
MN,Minnesota,2020,64054.60602,64054.60602
MS,Mississippi,2020,46482.03998,46482.03998
MO,Missouri,2020,75725.71197,75725.71197
MT,Montana,2020,14584.179,14584.179
NE,Nebraska,2020,31171.53602,31171.53602
NV,Nevada,2020,38233.89901,38233.89901
NH,New Hampshire,2020,10693.52901,10693.52901
NJ,New Jersey,2020,71998.22099,71998.22099
NM,New Mexico,2020,24777.15501,24777.15501
NY,New York,2020,140406.63199,140406.63199
NC,North Carolina,2020,130390.97999,130390.97999
ND,North Dakota,2020,21819.45199,21819.45199
OH,Ohio,2020,142615.19902,142615.19902
OK,Oklahoma,2020,62299.30498,62299.30498
OR,Oregon,2020,51019.31301,51019.31301
PA,Pennsylvania,2020,139720.83699,139720.83699
RI,Rhode Island,2020,7351.541,7351.541
SC,South Carolina,2020,76737.17599,76737.17599
SD,South Dakota,2020,12695.84499,12695.84499
TN,Tennessee,2020,95003.88798,95003.88798
TX,Texas,2020,426863.26697,426863.26697
UT,Utah,2020,31663.15699,31663.15699
VT,Vermont,2020,5331.45801,5331.45801
VA,Virginia,2020,117254.388,117254.388
WA,Washington,2020,86706.144,86706.144
WV,West Virginia,2020,32076.583,32076.583
WI,Wisconsin,2020,67448.36105,67448.36105
WY,Wyoming,2020,15331.018,15331.018
AL,Alabama,2021,85585.166,85585.166
AK,Alaska,2021,5969.339,5969.339
AZ,Arizona,2021,81219.99,81219.99
AR,Arkansas,2021,48663.14201,48663.14201
CA,California,2021,247249.865,247249.865
CO,Colorado,2021,56351.209,56351.209
CT,Connecticut,2021,27737.606,27737.606
DE,Delaware,2021,11479.65499,11479.65499
DC,District of Columbia,2021,10083.372,10083.372
FL,Florida,2021,241562.08201,241562.08201
GA,Georgia,2021,137363.95204,137363.95204
HI,Hawaii,2021,8936.482,8936.482
ID,Idaho,2021,25285.616,25285.616
IL,Illinois,2021,135688.833,135688.833
IN,Indiana,2021,99740.04599,99740.04599
IA,Iowa,2021,52893.26902,52893.26902
KS,Kansas,2021,40491.78604,40491.78604
KY,Kentucky,2021,74516.98602,74516.98602
LA,Louisiana,2021,90819.34601,90819.34601
ME,Maine,2021,11584.674,11584.674
MD,Maryland,2021,59303.974,59303.974
MA,Massachusetts,2021,50798.38799,50798.38799
